bench,scale,target_rel_err,pareto_sim,pareto_pred,common_percent
heat-3d,512,1e-05,[ 781 2254],[384],0.0
heat-3d,1024,0.01,[ 292 2116 3380],[ 292 1430 2116 3380],1.0
heat-3d,1024,0.001,[2116 3380],[ 978 1430 2116],0.5
heat-3d,1024,0.0001,[ 978 2116],[1320 1430 2116],0.5
heat-3d,1024,1e-05,[ 978 2116],[484],0.0
heat-3d,8,0.01,[ 324 2332 3412],[ 324 1556 2332 3412],1.0
heat-3d,8,0.001,[2332 3412],[1556 2332 3412],1.0
heat-3d,8,0.0001,[1010 2332],[1352 1556 2332],0.5
heat-3d,8,1e-05,[1010 2332],[1352 1556 2332],0.5
heat-3d,2,0.01,[ 169 2190 3257],[ 169 1606 2190 3257],1.0
heat-3d,2,0.001,[2190 3257],[1606 2190 3257],1.0
heat-3d,2,0.0001,[ 855 2190],[ 855 1606 2190],1.0
heat-3d,2,1e-05,[ 855 2190],[1197 1606 2190],0.5
jacobi-1d,128,0.01,[  15 1589 2365 3103],[  15 1589 2365 3103],1.0
jacobi-1d,128,0.001,[1589 2365 3103],[1589 2365 3103],1.0
jacobi-1d,128,0.0001,[ 701 1589 2365],[1589 2365  701],1.0
jacobi-1d,128,1e-05,[581],[2639],0.0
jacobi-1d,1,0.01,[ 275 1538 2084 3363],[ 275 1538 2084 3363],1.0
jacobi-1d,1,0.001,[1538 2084 3363],[1538 2084 3363],1.0
jacobi-1d,1,0.0001,[ 961 1538 2084],[1538 2084  961],1.0
jacobi-1d,1,1e-05,[1538 2084],[1303 1538 2084],1.0
jacobi-1d,16,0.01,[  50 1489 2383 3138],[  50 1489 2383 3138],1.0
jacobi-1d,16,0.001,[1489 2383 3138],[1489 2383 3138],1.0
jacobi-1d,16,0.0001,[ 736 1489 2383],[1489 2383  736],1.0
jacobi-1d,16,1e-05,[1078 1489 2383],[1078 1489 2383],1.0
jacobi-1d,64,0.01,[ 202 1507 2237 3290],[ 202 1507 2237 3290],1.0
jacobi-1d,64,0.001,[1507 2237 3290],[1507 2237 3290],1.0
jacobi-1d,64,0.0001,[ 888 1507 2237],[1507 2237  888],1.0
jacobi-1d,64,1e-05,[1230 1507 2237],[1230 1507 2237],1.0
jacobi-1d,512,0.01,[  96 1399 2255 3184],[  96 1399 2255 3184],1.0
jacobi-1d,512,0.001,[1399 2255 3184],[1399 2255 3184],1.0
jacobi-1d,512,0.0001,[385],[2443],0.0
jacobi-1d,512,1e-05,[385],[2443],0.0
jacobi-1d,1024,0.01,[ 293 1431 2117 3381],[ 293 1431 2117 3381],1.0
jacobi-1d,1024,0.001,[2543],[],0.0
jacobi-1d,1024,0.0001,[485],[2543],0.0
jacobi-1d,1024,1e-05,[485],[2543],0.0
jacobi-1d,8,0.01,[ 325 1557 2333 3413],[ 325 1557 2333 3413],1.0
jacobi-1d,8,0.001,[1557 2333 3413],[1557 2333 3413],1.0
jacobi-1d,8,0.0001,[1011 1557 2333],[1557 2333 1011],1.0
jacobi-1d,8,1e-05,[1353 1557 2333],[1353 1557 2333],1.0
jacobi-1d,2,0.01,[ 170 1607 2191 3258],[ 170 1607 2191 3258],1.0
jacobi-1d,2,0.001,[1607 2191 3258],[1607 2191 3258],1.0
jacobi-1d,2,0.0001,[ 856 1607 2191],[1607 2191  856],1.0
jacobi-1d,2,1e-05,[1198 1607 2191],[1198 1607 2191],1.0
jacobi-2d,128,0.01,[  16 1590 2366 3104],[  16 1590 2366 3104],1.0
jacobi-2d,128,0.001,[1590 2366 3104],[ 702 1590 2366],0.6666666666666666
jacobi-2d,128,0.0001,[582],[582],1.0
jacobi-2d,128,1e-05,[582],[582],1.0
jacobi-2d,1,0.01,[ 276 1539 2085 3364],[ 276 1539 2085 3364],1.0
jacobi-2d,1,0.001,[1539 2085 3364],[1539 2085 3364],1.0
jacobi-2d,1,0.0001,[ 962 1539 2085],[1304 1539 2085],0.6666666666666666
jacobi-2d,1,1e-05,[1539 2085],[1304 1539 2085],1.0
jacobi-2d,16,0.01,[  51 1490 2384 3139],[  51 1490 2384 3139],1.0
jacobi-2d,16,0.001,[1490 2384 3139],[ 737 1490 2384],0.6666666666666666
jacobi-2d,16,0.0001,[ 737 1490 2384],[1079 1490 2384],0.6666666666666666
jacobi-2d,16,1e-05,[450],[450],1.0
jacobi-2d,64,0.01,[ 203 1508 2238 3291],[ 203 1508 2238 3291],1.0
jacobi-2d,64,0.001,[1508 2238 3291],[ 889 1508 2238],0.6666666666666666
jacobi-2d,64,0.0001,[600],[600],1.0
jacobi-2d,64,1e-05,[600],[600],1.0
jacobi-2d,512,0.01,[  97 1400 2256 3185],[  97 1400 2256 3185],1.0
jacobi-2d,512,0.001,[2444],[2444],1.0
jacobi-2d,512,0.0001,[386],[386],1.0
jacobi-2d,512,1e-05,[386],[386],1.0
jacobi-2d,1024,0.01,[ 294 1432 2118 3382],[ 294 1432 2118 3382],1.0
jacobi-2d,1024,0.001,[2544],[2544],1.0
