bench,arch,taffo_conf,hw_sw_config,energy,float_op_count_default,kernel_float_op_count_default,energy_per_op
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,122988200.0,5700,5232,23506.91896024465
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136389400.0,5220,4800,28414.458333333332
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42270900.00000001,2244,1760,24017.556818181823
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,35804300.0,2242,1760,20343.352272727272
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,21598560.0,1600,1072,20147.910447761195
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,146617920.0,21550,5130,28580.491228070176
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,150343200.0,22390,5910,25438.781725888326
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37061360.0,2080,1600,23163.35
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74961840.0,4935,4560,16439.0
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107393080.0,8872,8296,12945.16393442623
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82723360.0,4632,4216,19621.290322580644
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44631360.0,1805,1600,27894.6
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,122988200.0,5700,5232,23506.91896024465
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136389400.0,5220,4800,28414.458333333332
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42270900.00000001,2244,1760,24017.556818181823
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,34781320.0,2242,1760,19762.113636363636
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,20998600.000000004,1600,1072,19588.24626865672
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,146617920.0,21550,5130,28580.491228070176
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,150343200.0,22390,5910,25438.781725888326
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37061360.0,2080,1600,23163.35
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74961840.0,4935,4560,16439.0
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107393080.0,8872,8296,12945.16393442623
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82723360.0,4632,4216,19621.290322580644
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44631360.0,1805,1600,27894.6
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,122988200.0,5700,5232,23506.91896024465
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136389400.0,5220,4800,28414.458333333332
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42270900.00000001,2244,1760,24017.556818181823
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,35804300.0,2242,1760,20343.352272727272
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,20998600.000000004,1600,1072,19588.24626865672
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,146617920.0,21550,5130,28580.491228070176
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,150343200.0,22390,5910,25438.781725888326
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37061360.0,2080,1600,23163.35
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74961840.0,4935,4560,16439.0
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107393080.0,8872,8296,12945.16393442623
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82723360.0,4632,4216,19621.290322580644
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44631360.0,1805,1600,27894.6
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,122988200.0,5700,5232,23506.91896024465
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136389400.0,5220,4800,28414.458333333332
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42270900.00000001,2244,1760,24017.556818181823
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,35804300.0,2242,1760,20343.352272727272
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
